Item Title,Abstract,label
Developing a Framework for the Insertion of Waste-to-Energy Technologies in South Africa: an in-Depth Analysis of Legislative Barriers and Drivers,"Solid waste management is the sole provision that almost every metropolitan provides for its citizens. While service levels, environmental impacts and costs differ dramatically, solid waste management is one of the most imperative services rendered by the municipality. Currently, world cities generate approximately 1.3 billion tonnes of solid waste per annum. This volume is projected to increase to 2.2 billion tonnes by 2025. It is expected that waste generation rates will more than double over the next twenty years in lower income countries. The above mentioned is quite an alarming statement as the global impact of solid waste is rapidly increasing. Solid waste has the potential to generate copious quantities of methane, a greenhouse gas (GHG) that is principally impactful in the short-term [ 11 ]. A proposed solution for the large quantities of waste is to initiate world-wide utilization of Waste-to-Energy (WtE) technologies.",Energy Engineering
Assessment of Green Ammonia Costing Tools,"Different estimation tools for the Levelized Cost of Ammonia (LCOA) yield a broad range of predicted green ammonia prices, with estimates ranging from $700 to $1800 per ton. These discrepancies raise concerns about the reliability of these tools for policymaking and decision-making. An analysis reveals that the tools rely on a wide variety of economic and technical assumptions. The breakdown shows that renewable energy generation and electrolysis contribute up to 70% of the costs in green ammonia production. Significant improvements are needed in these tools to enhance confidence in LCOA estimates and support the adoption of green ammonia.",Energy Engineering
Adoption of Renewable Energy Solutions by South African Beverage Manufacturers – Case Studies,"The industrial sector is responsible for over one-third of global greenhouse gas emissions and nearly 50% of global energy demand. While electricity is an essential input for industry, process heat often represents the bulk of energy needs, and it is obtained mainly by burning fossil fuels on-site. For the industrial sector to decarbonise, heavy emitters with high-temperature processes, such as the cement and steel industries, need fundamental changes to production technologies. Industries operating at lower temperatures must drive efficiencies and transform their energy mix. This study complements previous cost-benefit analyses for electricity and thermal energy generated from renewable and sustainable sources at South African beverage manufacturers. It includes a review of investments already made or being considered for a representative sample of beverage facilities. With project investment returns of 20% or more and payback of 2–4 years in South Africa, megawatt-scale photovoltaic and battery energy storage systems are capturing the major share of investment considerations. Immediate benefits include the mitigation against load-shedding events and double-digit electricity tariff increases. Where processes need steam, high-temperature heat pumps and solar thermal energy systems can replace liquid fossil fuels. However, sustainable thermal energy systems are not expected to be cost-efficient against coal for at least another decade. Through a detailed analysis of a returnable bottler washer in a soft drink facility, this research demonstrates that upgrading waste heat streams through industrial heat pumps can reduce the dependence on coal, especially where processes can be converted to hot water systems. Where steam remains a requirement, future studies modelling key processes will remain essential to define financially attractive opportunities. More broadly, policy support and effective carbon taxes will be necessary if industry is to reduce its reliance on coal meaningfully.",Energy Engineering
Assessing the Availability of the Organic Fraction of Solid Municipal Waste for Conversion into Biogas Production in South Africa,"South Africa’s waste management system necessitates alternative and innovative ways to divert organic waste from landfills. Many municipalities have an impending ban on organic waste from landfills as these consist of high moisture content. Anaerobic digestion is a promising technology for harnessing the nutrients contained in the organic waste stream. However, the success of this technology is highly dependent on the sustainable supply of feedstocks. Despite growing attempts by many municipalities, there isn’t a sufficient source separation of municipal waste to warrant feasibility for valorisation. In this study, a case study in one of the fresh produce markets in eThekwini Municipality was selected as the main supplier of feedstocks for the valorization of organic waste via anaerobic digestion. Clairwood market generates over 3000 t of waste per annum, which is a source-separated waste stream. It also evaluates the co-digestion opportunities such as animal manure and abattoir wastes, which are voluminous waste streams in South Africa. This study uses a mesophilic bench-scale process involving the co-digestion of food waste and cattle manure. Cattle manure provided inoculation and pH stabilisation for the fresh produce waste. A pH regulation was found to be instrumental in process optimisation, producing a biogas yield of 101 L/kg VS compared to 70 L/kg VS obtained without pH control. The highest yield was obtained at a pH value of 8.5. Furthermore, digestate pyrolysis was found to enhance properties such as C/N ratio and heating value which are important for post digestion usage. The C/N ratio increased to 48.5 from 11.4 and the heating value was 11.75 MJ/kg from 4.30 MJ/kg.",Energy Engineering
Improved Activity in CO2-Hydrogenation Over Iron-Based Catalysts upon In-situ Dosing of Water,"CO 2 -hydrogenation presents a promising pathway for the synthesis of renewable drop-in hydrocarbon fuels from waste CO 2 . This is especially valuable when using “hard-to-mitigate” CO 2 , e.g. from the cement industry. Iron has been seen as the most promising catalyst for CO 2 -hydrogenation yielding liquid fuels and is known to exhibit a conversion-selectivity relationship which may be exploited to increase the yield of C 2+ hydrocarbons. The original intention was to vary the CO 2 -conversion in a slurry phase reactor and assess the conversion-selectivity relationship. However, it was noticed that the catalyst performance improved significantly upon operation at sufficiently high conversion. This effect could be replicated by in-situ dosing of water following the catalyst activation during experimentation implying that product water caused the improved performance after exposure at elevated conversion levels.",Energy Engineering
Reviewing Practical Challenges in Estimating the State-of-Health of Lithium-Ion Batteries from Field Battery Data,"The global shift towards carbon neutrality is transforming the automotive industry by boosting electric vehicle (EV) adoption. These EVs rely on lithium-ion batteries (LiB) due to their high energy density and long cycle life. However, their capacity degrades over time, making the monitoring of state of health (SoH) crucial. Current SoH estimation methods include physics-based, model-based, and data-driven approaches, with a combination of these, often referred to as hybrid models, offering potential improvements. Much of the current research on SoH estimation overlooks real-world applications and relies on laboratory data that does not accurately reflect field conditions. In reality, the quality of field datasets is far from ideal which makes it incompatible with most state-of-the-art data-driven techniques. This paper, therefore, focuses on highlighting the limitations of laboratory data and reviewing the practical challenges faced when using field battery data for SoH estimation. A method that uses specific constraints is, subsequently, presented to estimate baseline SoH values using only partial charge data. Additionally, current data-driven techniques that use field battery data are analysed to identify their limitations and advantages.",Energy Engineering
Analysing the Effect of Climate Change on Photovoltaic Solar Plants in South Africa,"This study examines the impact of climate change on photovoltaic (PV) potential across South Africa, focusing on the period from 2015 to 2100 using CMIP6 and SSP245 climate projections. South Africa’s diverse climates, from the hot deserts to humid subtropical regions, present unique challenges and opportunities for solar energy generation. By analysing historical weather data from NASA’s MERRA2 dataset (1980–2023), this research identifies trends in key variables such as Global Horizontal Irradiance (GHI), air temperature, and cloud cover, influencing PV generation. These trends are then used to assess the reliability of the SSP245 model predictions. The analysis reveals a general decline in PV potential in the western regions of South Africa, including key solar hubs like Upington, while eastern regions show growth potential. By 2100, PV potential in Upington is projected to decrease by 2.20%, while other regions may see increases of up to 4.00%. These findings underscore the need for strategic planning in South Africa’s solar energy sector to mitigate the impacts of climate change on future PV performance.",Energy Engineering
Inter-comparison and Validation Against In-Situ Measurements of Satellite Estimates of Incoming Solar Radiation at Reunion BSRN Site,"In Reunion, where the objective is a 100% renewable electricity mix by 2030, climate variability and complex topography make it difficult to integrate solar energy into the electricity grid. This study aims to compare satellite (SARAH-3) and in-situ (IOS-net) data of global horizontal irradiance (GHI) and direct normal irradiance (DNI). First, the entire methodology was applied to the Reunion BSRN site, then extended to all stations in the IOS-net network. The BSRN site was selected for its different sensors, which measure the three components of solar radiation using SPN1 pyranometers (GHI and diffuse horizontal irradiance, DHI) and CHP1 pyrheliometers (DNI). The BSRN site serves as a reference to assess the accuracy of the SARAH-3 satellite estimates for other IOS-net stations, which are only equipped with SPN1 sensors. This comparison allows us to assess the reliability of satellite data because in-situ data are very accurate but often incomplete. In contrast, satellite data are more systematically available but less accurate due to their dependence on estimation models and a lower spatial and temporal resolution. The study covers data from December 1, 2008 to April 1, 2024, focusing on DNI (2017–2024) for concentrated solar systems and GHI (2008–2024) for PV systems. In-situ data from Reunion are imported from IOS-net, quality-checked according to BSRN criteria, and matched with corresponding satellite data. High-quality measurements, at oneminute resolution, collected since 2008 are used to establish correlations between ground-based and satellite data, potentially filling data gaps and improving solar irradiance predictions. This approach could help estimate GHI and DNI in areas without meteorological stations, thereby identifying new regions with high solar potential.",Energy Engineering
Forecast Accuracy for Solar Resource in Tshwane Using SolCast Data Services,"This paper compares forecasted global horizontal irradiance (GHI) data from SolCast to GHI recorded at the CSIR meteorological station in Tshwane, South Africa. The study compares the SolCast forecast to the CSIR measured values and computes accuracy metrics for +1-h, solar noon, +1-day, and + 7-day ahead forecasts. The +1-h ahead and solar noon forecasts are based on the average value for a single hour, while the +1-day and + 7-day ahead are based on the insolation over 24 h. Based on the limited data collected for this study, the normalised root mean squared deviation (nRMSD) is 28.9% for the +1-h ahead forecast at the CSIR for forecasts made in the morning. This forecast error from the morning forecasts is nearly double the nRMSD reported in a study conducted by the SolCast team on forecasts across 33 sites worldwide for forecasts made at all hours of the day (16.6%). The high forecast error is likely due to the relatively low irradiance value forecasted and measured in the morning hours of the winter season captured in the study dataset. By contrast, the nRMSD for forecasts made for solar noon of the same day was 11.3%, which falls within the range of values reported by the SolCast team. The normalised mean bias deviations (nMBD) for the daily insolation for +1-day and the +7-day ahead forecasts were both 5.2% at the CSIR.",Energy Engineering
An Experimental Comparison of Lithium-Iron-Phosphate Battery Charging Protocols,"This study investigates the performance and thermal effects of different charging protocols for Lithium Iron Phosphate (LFP) batteries, focusing on their efficiency and impact on battery temperature. Five protocols—Constant Current (CC), Constant Power (CP), Constant Current Constant Voltage (CCCV), Constant Power Constant Current (CPCC), and Constant Power Constant Voltage (CPCV)—were applied to a commercial LFP battery pack. The results reveal that while the CPCV protocol provides the highest energy and coulombic efficiencies, it also induces significant heat, which can be detrimental. In contrast, the CCCV protocol, although less efficient, offers better temperature control, making it more suitable for applications where thermal management is critical. This study highlights the trade-offs between efficiency and thermal management in battery charging protocols, offering insights for optimizing battery performance in various applications.-->",Energy Engineering
